agent,ranker,env-id,slate size,num items,reward-type,clicks,clicks_std,diversity,diversity_std,catalog coverage,catalog_coverage_std,runtime,runtime_std
reinforce,,sardine/SlateTopK-Bored-v0,3,100,click,41.09,,0.71,,0.64,,1800,
reinforce,,sardine/SlateTopK-Bored-v0,3,500,click,65.66,,0.55,,0.07,,1800,
reinforce,,sardine/SlateTopK-Bored-v0,3,1000,click,65.16,,0.53,,0.03,,1800,
reinforce,,sardine/SlateTopK-Bored-v0,10,100,click,88.06,,0.68,,0.79,,4020,
reinforce,,sardine/SlateTopK-Bored-v0,10,500,click,88.80,,0.64,,0.31,,4020,
reinforce,,sardine/SlateTopK-Bored-v0,10,1000,click,66.69,,0.72,,0.40,,4020,
reinforce,,sardine/SlateTopK-Bored-v0,20,100,click,90.62,,0.72,,0.95,,19980,
reinforce,,sardine/SlateTopK-Bored-v0,20,500,click,92.12,,0.67,,0.55,,19980,
sac,topk,sardine/SlateTopK-Bored-v0,3,100,click,77.20,,0.38,,0.06,,4917.8940074,
sac,topk,sardine/SlateTopK-Bored-v0,3,500,click,93.87,,0.25,,0.11,,4984.997173,
sac,topk,sardine/SlateTopK-Bored-v0,3,1000,click,98.04,,0.18,,0.13,,3777.3458724,
sac,topk,sardine/SlateTopK-Bored-v0,3,1682,click,56.93,0.00,0.32,0.00,0.03,0.00,9387.305686,0.0
sac,topk,sardine/SlateTopK-Bored-v0,5,1682,click,61.23,0.00,0.34,0.00,0.04,0.00,9064.720997,0.0
sac,topk,sardine/SlateTopK-Bored-v0,10,100,click,104.00,,0.50,,0.09,,5394.8371034,
sac,topk,sardine/SlateTopK-Bored-v0,10,500,click,136.75,,0.33,,0.24,,5354.83889675,
sac,topk,sardine/SlateTopK-Bored-v0,10,1000,click,137.71,,0.29,,0.31,,5289.293606599999,
sac,topk,sardine/SlateTopK-Bored-v0,10,1682,click,69.65,0.00,0.39,0.00,0.07,0.00,10190.348497,0.0
sac,topk,sardine/SlateTopK-Bored-v0,20,100,click,106.11,,0.60,,0.10,,8535.858328799999,
sac,gems,sardine/SlateTopK-Bored-v0,3,100,click,35.23,8.77,0.80,0.09,0.06,0.02,,
sac,gems,sardine/SlateTopK-Bored-v0,3,500,click,37.83,7.10,0.76,0.08,0.16,0.01,,
sac,gems,sardine/SlateTopK-Bored-v0,3,1000,click,43.64,8.52,0.72,0.04,0.17,0.01,,
sac,gems,sardine/SlateTopK-Bored-v0,10,500,click,84.49,13.00,0.63,0.08,0.25,0.01,,
sac,gems,sardine/SlateTopK-Bored-v0,10,100,click,49.95,8.10,0.77,0.02,0.10,0.00,,
sac,gems,sardine/SlateTopK-Bored-v0,10,1000,click,104.82,22.40,0.55,0.05,0.30,0.01,,
sac,gems,sardine/SlateTopK-Bored-v0,20,100,click,104.27,23.74,0.47,0.07,0.09,0.00,,
sac,gems,sardine/SlateTopK-Bored-v0,20,500,click,115.45,23.43,0.50,0.09,0.27,0.01,,
sac,gems,sardine/SlateTopK-Bored-v0,20,1000,click,111.89,21.83,0.46,0.11,0.31,0.01,,
random,,sardine/SlateTopK-Bored-v0,1,100,,8.76,0.19,0.00,0.00,0.63,0.00,6.94,0.02
random,,sardine/SlateTopK-Bored-v0,1,500,,8.52,0.13,0.00,0.00,0.18,0.00,7.33,0.13
random,,sardine/SlateTopK-Bored-v0,1,1000,,8.71,0.12,0.00,0.00,0.10,0.00,23.77,0.06
random,,sardine/SlateTopK-Bored-v0,1,1682,,0.34,0.02,0.00,0.00,0.06,0.00,25.04,0.51
random,,sardine/SlateTopK-Bored-v0,3,100,,21.58,0.28,0.79,0.00,0.95,0.00,10.96,0.17
random,,sardine/SlateTopK-Bored-v0,3,500,,21.96,0.25,0.80,0.00,0.45,0.00,11.10,0.05
random,,sardine/SlateTopK-Bored-v0,3,1000,,22.12,0.21,0.80,0.00,0.26,0.00,28.32,0.29
random,,sardine/SlateTopK-Bored-v0,3,1682,,0.80,0.04,0.77,0.00,0.16,0.00,32.15,0.53
random,,sardine/SlateTopK-Bored-v0,10,100,,42.13,0.63,0.79,0.00,1.00,0.00,55.00,0.78
random,,sardine/SlateTopK-Bored-v0,10,500,,42.92,0.62,0.80,0.00,0.86,0.00,55.88,0.98
random,,sardine/SlateTopK-Bored-v0,10,1000,,43.66,0.45,0.80,0.00,0.63,0.00,85.01,4.00
random,,sardine/SlateTopK-Bored-v0,10,1682,,1.70,0.15,0.77,0.00,0.45,0.00,90.13,4.01
random,,sardine/SlateTopK-Bored-v0,20,100,,48.19,1.16,0.79,0.00,1.00,0.00,199.38,1.01
random,,sardine/SlateTopK-Bored-v0,20,500,,49.62,0.32,0.80,0.00,0.98,0.00,198.21,0.17
random,,sardine/SlateTopK-Bored-v0,20,1000,,50.31,0.39,0.80,0.00,0.86,0.00,233.40,0.33
random,,sardine/SlateTopK-Bored-v0,20,1682,,1.94,0.12,0.77,0.00,0.70,0.00,275.21,0.51
greedyoracle,,sardine/SlateTopK-Bored-v0,1,100,,50.01,0.01,0.00,0.00,0.02,0.00,7.05,0.05
greedyoracle,,sardine/SlateTopK-Bored-v0,1,500,,50.00,0.00,0.00,0.00,0.00,0.00,7.36,0.17
greedyoracle,,sardine/SlateTopK-Bored-v0,1,1000,,50.00,0.00,0.00,0.00,0.00,0.00,23.89,0.27
greedyoracle,,sardine/SlateTopK-Bored-v0,1,1682,,38.79,1.00,0.00,0.00,0.00,0.00,25.99,0.16
greedyoracle,,sardine/SlateTopK-Bored-v0,3,100,,105.30,0.74,0.57,0.00,0.06,0.00,10.82,0.08
greedyoracle,,sardine/SlateTopK-Bored-v0,3,500,,101.89,1.55,0.65,0.00,0.01,0.00,11.05,0.11
greedyoracle,,sardine/SlateTopK-Bored-v0,3,1000,,101.67,1.52,0.40,0.00,0.01,0.00,28.63,0.28
greedyoracle,,sardine/SlateTopK-Bored-v0,3,1682,,65.92,1.62,0.46,0.00,0.00,0.00,32.93,0.63
greedyoracle,,sardine/SlateTopK-Bored-v0,10,100,,139.24,1.06,0.71,0.00,0.19,0.00,53.85,0.27
greedyoracle,,sardine/SlateTopK-Bored-v0,10,500,,147.48,1.20,0.67,0.00,0.04,0.00,55.05,1.44
greedyoracle,,sardine/SlateTopK-Bored-v0,10,1000,,144.13,0.92,0.64,0.00,0.02,0.00,82.99,0.67
greedyoracle,,sardine/SlateTopK-Bored-v0,10,1682,,84.38,1.92,0.58,0.00,0.01,0.00,90.87,1.11
